"","likelihood","bart","expr","cancer","rank_size"
"1","0.285844698108763","0.726","3.7532845565742","BLCA",1
"2","1.21071929517022e-11","0.894","3.91071489662537","BRCA_1",2
"3","0.000195022999286255","0.826","4.05191413623243","BRCA_2",3
"4","1.40628899850886e-06","0.961","3.60266195320557","COAD_READ",4
"5","9.90284749639344e-25","0.909","3.59021850204479","HNSC",5
"6","0.0911427112996301","0.346","3.29365589582274","KICH",6
"7","8.5437561223082e-12","0.898","3.64804743029222","KIRC",7
"8","0.969685156792646","0.95","3.5185214462245","KIRP",8
"9","3.76787551996359e-15","0.95","3.75129483752581","LIHC",9
"10","7.32078693881648e-07","0.944","3.8954715915672","LUAD",10
"11","5.03413953244768e-05","0.909","3.91397394350825","LUSC",11
"12","1.31439102946274e-23","0.912","3.82633562315164","PRAD",12
"13","0.0787766429917239","0.941","3.51112971569028","STES",13
"14","4.42208053403592e-27","0.869","3.85790699547042","THCA",14
"15","2.31448324958926e-06","0.724","3.74699953223707","UCEC",15
