"","likelihood","bart","expr","cancer","rank_size"
"1","5.94601094402309e-06","0.719","2.61004213478157","BLCA",1
"2","0.940423916449959","0.713","2.50493656918467","BRCA_1",2
"3","0.000385704064156714","0.41","2.69561460047377","BRCA_2",3
"4","0.000279244537965722","0.643","2.59343452660767","COAD_READ",4
"5","4.65965059338565e-07","0.619","2.03872533847445","HNSC",5
"6","0.93617318663642","0.333","1.25781006802709","KICH",6
"7","0.631501617527263","0.667","1.91829921272324","KIRC",7
"8","4.13145224035528e-08","0.32","2.25242494178382","KIRP",8
"9","3.51770101955193e-09","0.895","1.87239714282","LIHC",9
"10","0.371990145762641","0.723","2.34234726056357","LUAD",10
"11","2.02327136885243e-05","0.566","2.39683349274606","LUSC",11
"12","0.404571231713215","0.915","2.42621231461564","PRAD",12
"13","0.000360664497912903","0.714","2.49500907573329","STES",13
"14","0.139508216049433","0.64","2.32511627287893","THCA",14
"15","0.368908085471514","0.481","3.05668588858596","UCEC",15
