"","likelihood","bart","expr","cancer","rank_size"
"1","0.070146369004505","0.434","0.842320103491992","BLCA",1
"2","0.742633155743964","0.279","0.676852228853822","BRCA_1",2
"3","0.221884503320113","0.372","1.14309862033573","BRCA_2",3
"4","0.8127170636299","0.578","1.28195798620685","COAD_READ",4
"5","0.665079897696037","0.664","0.503988483773972","HNSC",5
"6","0.467758609690405","0.222","0.207724614071119","KICH",6
"7","0.682484903885221","0.432","0.165391800062919","KIRC",7
"8","0.687596590028269","0.391","0.471352764447099","KIRP",8
"9","0.166095191710951","0.772","0.0169308543295471","LIHC",9
"10","0.040694699578409","0.643","0.670103261456506","LUAD",10
"11","0.255683541229966","0.588","0.631765301255965","LUSC",11
"12","0.999873547788034","0.783","0.228855310026452","PRAD",12
"13","0.0609654665648215","0.666","1.26363730891712","STES",13
"14","0.117993722886864","0.429","0.306299873648608","THCA",14
"15","0.759052041109644","0.485","0.959590824172709","UCEC",15
