cancer,likelihood,bart,expr,rank_size
"1",0.668611841046664,0.609,1.87313315085782,14
"2",0.770858469707873,0.156,2.70984034745068,1
"3",0.288174143275851,0.653,2.13033301495356,9
"4",0.0749389798968566,0.297,1.77332238057744,15
"5",0.181361872476727,0.256,2.06248438634262,10
"6",0.941906496294548,0.795,2.29147931160664,6
"7",0.694831602656997,0.176,2.6206101130796,2
"8",0.922622542179949,0.224,2.26726442888869,8
"9",0.428189543395222,0.147,1.89206242208955,12
"10",0.224087768251471,0.176,2.28188064444371,7
"11",0.00943094687188768,0.22,1.97318198381384,11
"12",0.858029061326382,0.168,2.41067550944266,4
"13",0.670172424000111,0.219,2.41060741397655,5
"14",0.279615119390234,0.198,2.44554421832741,3
"15",0.294951189493504,0.44,1.87512939837354,13
