"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"1","SIRT1",3.375,0.000369,3.018,0.683,0.021,4.29e-05,1,4.36754270781528
"2","IKZF1",5.543,1.49e-08,2.864,0.649,0.022,4.98e-05,2,4.30277065724028
"3","TAL1",6.11,4.98e-10,2.826,0.639,0.025,6.87e-05,3,4.16304326294045
"4","BRDU",4.218,1.24e-05,3.322,0.623,0.025,6.87e-05,4,4.16304326294045
"5","CEBPB",10.724,3.93e-27,2.412,0.758,0.029,0.000111,5,3.95467702121334
"6","LYL1",4.19,1.39e-05,2.428,0.723,0.036,0.000209,6,3.67985371388895
"7","POLR3D",4.497,3.45e-06,2.759,0.602,0.036,0.000215,7,3.66756154008439
"8","TSC22D4",2.479,0.0066,3.166,0.634,0.038,0.000249,8,3.60380065290426
"9","EP300",7.717,5.95e-15,2.255,0.726,0.042,0.000335,9,3.47495519296315
"10","ETV6",2.905,0.00184,2.689,0.614,0.047,0.000459,10,3.33818731446274
"11","LMO2",3.313,0.000462,2.349,0.692,0.047,0.00047,11,3.32790214206428
"12","STAT4",2.165,0.0152,3.109,0.622,0.048,0.000503,12,3.29843201494407
"13","SPIB",2.962,0.00153,2.886,0.59,0.05,0.000549,13,3.26042765554991
"14","ZTA",2.327,0.00999,3.36,0.594,0.051,0.000586,14,3.23210238398191
"15","FOXO1",2.695,0.00352,2.435,0.675,0.052,0.000651,15,3.18641901143181
"16","SPI1",8.752,1.05e-18,2.111,0.748,0.053,0.000678,16,3.16877030613294
"17","SSRP1",2.442,0.0073,3.579,0.572,0.054,0.000706,17,3.1511952989482
"18","IRF4",3.334,0.000427,2.454,0.599,0.055,0.000734,18,3.13430394008393
"19","JMJD1C",3.026,0.00124,2.388,0.642,0.055,0.000734,19,3.13430394008393
"20","GATA2",4.356,6.63e-06,2.516,0.58,0.055,0.000749,20,3.12551818230053
"21","KDM1A",2.425,0.00765,2.596,0.61,0.057,0.000825,21,3.08354605145007
"22","EBF1",3.074,0.00106,2.528,0.592,0.057,0.000825,22,3.08354605145007
"23","BACH2",3.212,0.000659,2.359,0.631,0.057,0.000825,23,3.08354605145007
"24","GATA1",5.498,1.92e-08,2.455,0.573,0.058,0.000889,24,3.05109823902979
