"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"1","SIRT1",3.258,0.000561,2.953,0.705,0.023,5.48e-05,1,4.26121944151563
"2","ASCL1",5.434,2.75e-08,2.722,0.642,0.027,8.47e-05,2,4.07211658966929
"3","HNF4A",5.088,1.81e-07,2.537,0.679,0.027,8.47e-05,3,4.07211658966929
"4","BRDU",4.065,2.4e-05,3.254,0.622,0.027,9.18e-05,4,4.03715731879876
"5","TEAD4",4.2,1.34e-05,2.739,0.64,0.03,0.000124,5,3.90657831483776
"6","JUND",3.95,3.91e-05,2.59,0.658,0.032,0.000143,6,3.84466396253494
"7","CDX2",2.793,0.00261,3.004,0.638,0.034,0.000174,7,3.7594507517174
"8","SMAD3",4.751,1.01e-06,2.542,0.637,0.035,0.000197,8,3.70553377383841
"9","ESR1",16.91,1.89e-64,2.444,0.605,0.044,0.00038,9,3.42021640338319
"10","ARID1A",2.355,0.00926,3.023,0.615,0.044,0.000389,10,3.41005039867429
"11","FOXA1",11.288,7.56e-30,2.406,0.608,0.045,0.000408,11,3.38933983691012
"12","SSRP1",2.612,0.00451,3.738,0.6,0.045,0.000408,12,3.38933983691012
"13","YBX1",2.658,0.00393,3.078,0.604,0.046,0.000428,13,3.36855623098683
"14","AHR",2.389,0.00844,3.086,0.606,0.047,0.00047,14,3.32790214206428
"15","GREB1",3.567,0.000181,2.867,0.6,0.047,0.00047,15,3.32790214206428
"16","NR1H2",3.161,0.000787,2.629,0.608,0.048,0.000503,16,3.29843201494407
"17","ZNF649",1.678,0.0467,4.407,0.619,0.051,0.000586,17,3.23210238398191
"18","FOSL2",9.949,1.27e-23,1.98,0.694,0.051,0.000611,18,3.21395878975745
"19","CRY1",1.678,0.0467,3.53,0.619,0.052,0.000624,19,3.20481541031758
"20","RAD21",9.182,2.11e-20,2.102,0.636,0.054,0.000692,20,3.15989390554324
"21","SMC3",7.065,8.06e-13,1.98,0.651,0.056,0.000809,21,3.09205147838773
"22","SUMO1",5.803,3.25e-09,2.313,0.604,0.056,0.000809,22,3.09205147838773
"23","DLX2",1.718,0.0429,2.51,0.672,0.057,0.000825,23,3.08354605145007
"24","NR1H3",3.074,0.00106,2.776,0.593,0.057,0.00084,24,3.07572071393812
"25","POLR3D",4.652,1.65e-06,2.821,0.584,0.058,0.000856,25,3.06752623532285
"26","HOXB13",3.335,0.000426,2.296,0.614,0.06,0.000956,26,3.0195421077239
