"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"1","GATA2",6.237,2.22e-10,3.098,0.574,0.01,5.1e-06,1,5.29242982390206
"2","TAL1",6.606,1.97e-11,2.978,0.558,0.015,1.44e-05,2,4.84163750790475
"3","GATA4",4.883,5.23e-07,3.044,0.572,0.015,1.55e-05,3,4.80966830182971
"4","TBX5",3.744,9.04e-05,3.238,0.563,0.019,2.94e-05,4,4.53165266958784
"5","MAML3",3.323,0.000446,3.04,0.535,0.028,0.000103,5,3.98716277529483
"6","GATA1",6.604,2e-11,2.784,0.528,0.029,0.000115,6,3.93930215964639
"7","SMAD1",3.621,0.000147,3.21,0.524,0.031,0.000128,7,3.89279003035213
"8","OTX2",5.961,1.26e-09,2.854,0.514,0.033,0.000158,8,3.80134291304558
"9","LYL1",4.151,1.66e-05,2.411,0.6,0.036,0.000209,9,3.67985371388895
"10","MYOG",2.203,0.0138,2.986,0.547,0.037,0.000222,10,3.65364702554936
"11","RAD21",10.209,9.08e-25,2.3,0.573,0.038,0.000249,11,3.60380065290426
"12","CTCF",30.187,1.74e-200,2.282,0.557,0.043,0.000352,12,3.45345733652187
"13","EBF3",2.526,0.00576,3.037,0.507,0.045,0.000418,13,3.37882371822496
"14","NEUROG2",5.183,1.09e-07,2.39,0.534,0.047,0.00047,14,3.32790214206428
"15","KDM1A",2.478,0.0066,2.641,0.536,0.048,0.000503,15,3.29843201494407
"16","HOTAIR",2.894,0.0019,2.95,0.502,0.05,0.000561,16,3.25103713874384
"17","PPARG",5.22,8.96e-08,2.157,0.597,0.051,0.000586,17,3.23210238398191
"18","SIX2",3.324,0.000443,2.773,0.502,0.054,0.00072,18,3.14266750356873
"19","REST",5.901,1.81e-09,2.569,0.497,0.057,0.000825,19,3.08354605145007
"20","MEF2B",4.14,1.74e-05,2.362,0.514,0.057,0.00084,20,3.07572071393812
"21","NME2",2.123,0.0169,2.852,0.507,0.058,0.000856,21,3.06752623532285
"22","SMC3",7.466,4.13e-14,2.087,0.564,0.059,0.000905,22,3.0433514207948
"23","PHOX2B",1.639,0.0506,3.051,0.525,0.06,0.000991,23,3.00392634551472
"24","PAX3",1.648,0.0497,2.911,0.528,0.061,0.00103,24,2.98716277529483
"25","GRIP1",2.394,0.00833,2.23,0.589,0.061,0.00103,25,2.98716277529483
"26","SPI1",7.94,1.01e-15,1.931,0.668,0.061,0.00105,26,2.97881070093006
"27","NR2F1",2.257,0.012,2.954,0.494,0.064,0.00118,27,2.92811799269387
"28","NR2F2",2.736,0.00311,2.265,0.531,0.065,0.00126,28,2.89962945488244
"29","HAND2",1.615,0.0532,2.906,0.518,0.067,0.00132,29,2.87942606879415
"30","LMO2",2.897,0.00189,2.104,0.577,0.067,0.00135,30,2.86966623150499
"31","SMC1A",6.524,3.42e-11,1.92,0.575,0.068,0.00139,31,2.85698519974591
"32","AR",9.641,2.68e-22,2.147,0.509,0.068,0.00141,32,2.85078088734462
"33","SPIB",2.487,0.00643,2.567,0.501,0.068,0.00141,33,2.85078088734462
"34","POLR3D",3.407,0.000329,2.327,0.504,0.069,0.0015,34,2.82390874094432
"35","GATA6",3.039,0.00119,2.329,0.505,0.07,0.00153,35,2.8153085691824
"36","TCF21",3.165,0.000776,2.045,0.569,0.07,0.00153,36,2.8153085691824
"37","SOX11",1.725,0.0423,3.025,0.503,0.07,0.00153,37,2.8153085691824
"38","FLI1",3.167,0.000771,2.163,0.527,0.071,0.0016,38,2.79588001734407
"39","MEIS1",2.568,0.00512,2.452,0.501,0.071,0.00162,39,2.79048498545737
"40","STAG1",7.765,4.07e-15,1.883,0.554,0.072,0.00167,40,2.77728352885242
"41","NEUROD1",2.043,0.0205,2.478,0.508,0.072,0.0017,41,2.76955107862173
"42","GATA3",4.137,1.76e-05,2.12,0.52,0.073,0.00178,42,2.74957999769111
"43","MCM2",1.564,0.0589,2.894,0.509,0.074,0.0018,43,2.74472749489669
"44","IKZF1",3.995,3.24e-05,2.184,0.507,0.074,0.00183,44,2.73754891026957
"45","EZH2",8.858,4.07e-19,1.616,0.679,0.075,0.00188,45,2.72584215073632
"46","MYOD1",2.339,0.00966,2.451,0.5,0.077,0.00202,46,2.69464863055338
"47","EED",1.988,0.0234,2.209,0.551,0.077,0.00208,47,2.68193666503724
"48","SUMO1",5.275,6.65e-08,2.125,0.505,0.078,0.00211,48,2.67571754470231
"49","DUX4",2.111,0.0174,2.804,0.486,0.078,0.00211,49,2.67571754470231
"50","ZIM3",1.927,0.027,2.856,0.488,0.078,0.00217,50,2.66354026615147
"51","ZBTB2",2.078,0.0189,2.365,0.506,0.08,0.00229,51,2.64016451766011
"52","TERC",2.725,0.00321,2.455,0.488,0.08,0.00232,52,2.6345120151091
"53","SOX10",1.577,0.0574,2.667,0.511,0.082,0.00248,53,2.60554831917378
"54","SOX2",3.425,0.000307,2.15,0.503,0.084,0.00264,54,2.57839607313017
"55","CHAT",1.902,0.0286,2.882,0.482,0.084,0.00268,55,2.57186520597121
"56","ZFP57",2.041,0.0207,2.243,0.513,0.085,0.00278,56,2.55595520408192
"57","RUNX1T1",2.732,0.00315,1.866,0.541,0.088,0.00307,57,2.51286162452281
"58","ZNF654",2.274,0.0115,2.11,0.517,0.088,0.00311,58,2.50723961097316
"59","ZNF512",2.015,0.0219,2.441,0.493,0.09,0.00323,59,2.4907974776689
"60","CEBPB",5.548,1.44e-08,1.482,0.652,0.09,0.00331,60,2.48017200622428
"61","HOXC9",1.866,0.031,2.793,0.481,0.091,0.00343,61,2.46470587995723
"62","CDK2",1.715,0.0431,2.775,0.486,0.092,0.00351,62,2.45469288353418
"63","JMJD1C",2.39,0.00843,1.886,0.537,0.092,0.00355,63,2.44977164694491
"64","PGR",1.595,0.0553,2.353,0.514,0.093,0.00359,64,2.44490555142168
"65","TCF4",1.998,0.0229,2.009,0.53,0.095,0.00389,65,2.41005039867429
"66","SMAD2",2.265,0.0117,2.236,0.495,0.096,0.00398,66,2.40011692792631
"67","EOMES",2.364,0.00905,2.47,0.478,0.096,0.00402,67,2.39577394691553
"68","CEBPA",2.452,0.00711,1.68,0.565,0.097,0.00407,68,2.39040559077478
"69","SMARCA2",1.878,0.0302,2.496,0.484,0.097,0.00416,69,2.38090666937326
"70","RUNX1",4.697,1.32e-06,1.557,0.535,0.098,0.00421,70,2.37571790416433
"71","NKX2-1",1.825,0.034,2.235,0.504,0.098,0.00425,71,2.37161106994969
"72","LDB1",1.455,0.0729,2.764,0.495,0.098,0.00425,72,2.37161106994969
"73","RXRG",2.929,0.0017,1.749,0.526,0.099,0.00435,73,2.36151074304536
"74","LMNA",1.752,0.0399,2.77,0.479,0.1,0.00449,74,2.34775365899668
"75","FOXA2",4.121,1.88e-05,2.206,0.478,0.101,0.00464,75,2.33348201944512
"76","JARID2",5.317,5.28e-08,1.271,0.671,0.101,0.00469,76,2.32882715728492
"77","DMC1",1.4,0.0807,2.8,0.488,0.103,0.00489,77,2.31069114087638
"78","IRF5",1.396,0.0813,2.835,0.487,0.103,0.00489,78,2.31069114087638
"79","ZNF384",1.795,0.0363,2.31,0.493,0.104,0.00499,79,2.30189945437661
"80","KLF16",1.803,0.0357,2.413,0.484,0.104,0.00499,80,2.30189945437661
"81","SIRT1",2.047,0.0203,2.284,0.485,0.104,0.00505,81,2.29670862188134
