"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"1","MAX",5.792,3.48e-09,3.584,0.682,0.007,1.43e-06,1,5.84466396253494
"2","POLR3D",4.761,9.65e-07,2.864,0.659,0.016,1.78e-05,2,4.74957999769111
"3","TCF7L1",3.45,0.000281,2.752,0.678,0.018,2.77e-05,3,4.55752023093555
"4","SIRT1",3.335,0.000427,2.995,0.676,0.018,2.77e-05,4,4.55752023093555
"5","ASCL1",4.609,2.02e-06,2.455,0.649,0.027,8.47e-05,5,4.07211658966929
"6","SUZ12",6.388,8.4e-11,1.859,0.793,0.03,0.000124,6,3.90657831483776
"7","EED",2.621,0.00438,2.743,0.668,0.032,0.000143,7,3.84466396253494
"8","ZEB1",2.951,0.00158,2.671,0.653,0.033,0.000163,8,3.78781239559604
"9","RNF2",3.434,0.000297,2.172,0.658,0.036,0.000209,9,3.67985371388895
"10","TET2",3.397,0.000341,2.343,0.647,0.036,0.000209,10,3.67985371388895
"11","E2F6",3.877,5.29e-05,2.26,0.644,0.037,0.000222,11,3.65364702554936
"12","HEXIM1",3.194,0.000702,2.941,0.636,0.039,0.000271,12,3.56703070912559
"13","ZBTB48",5.556,1.38e-08,2.819,0.628,0.04,0.000278,13,3.55595520408192
"14","KDM4A",2.914,0.00179,2.329,0.649,0.041,0.000302,14,3.51999305704285
"15","TRIM25",2.868,0.00206,2.69,0.642,0.041,0.00031,15,3.50863830616573
"16","EZH2",8.74,1.17e-18,1.594,0.812,0.041,0.00031,16,3.50863830616573
"17","BCOR",2.589,0.00481,2.697,0.647,0.041,0.00031,17,3.50863830616573
"18","GTF2I",3.738,9.27e-05,2.011,0.639,0.05,0.000574,18,3.24108810760203
"19","RELA",6.814,4.75e-12,1.542,0.662,0.051,0.000599,19,3.22257317761069
"20","SP140",2.305,0.0106,2.234,0.653,0.055,0.000749,20,3.12551818230053
"21","SP1",4.012,3.01e-05,1.558,0.648,0.06,0.000974,21,3.01144104312138
"22","CBFB",3.737,9.33e-05,1.835,0.635,0.061,0.00101,22,2.99567862621736
"23","JARID2",5.426,2.87e-08,1.303,0.713,0.061,0.00103,23,2.98716277529483
"24","RUNX1",4.402,5.37e-06,1.465,0.654,0.061,0.00105,24,2.97881070093006
"25","SMAD3",2.995,0.00137,1.79,0.642,0.064,0.0012,25,2.92081875395238
"26","MYC",11.432,1.45e-30,1.233,0.688,0.065,0.00122,26,2.91364016932525
"27","BACH2",2.75,0.00298,2.042,0.631,0.065,0.00126,27,2.89962945488244
