"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"1","JUND",4.138,1.75e-05,2.692,0.676,0.014,1.34e-05,1,4.87289520163519
"2","CEBPB",9.638,2.76e-22,2.217,0.742,0.017,2.17e-05,2,4.66354026615147
"3","SMARCA4",3.862,5.62e-05,2.644,0.674,0.018,2.46e-05,3,4.60906489289662
"4","FOSL1",3.729,9.62e-05,2.337,0.688,0.023,5.74e-05,4,4.24108810760203
"5","SPI1",8.797,7e-19,2.121,0.756,0.026,7.8e-05,5,4.10790539730952
"6","STAT1",4.068,2.37e-05,2.547,0.637,0.031,0.000128,6,3.89279003035213
"7","HES2",8.259,7.33e-17,2.045,0.687,0.034,0.000179,7,3.74714696902011
"8","VDR",3.827,6.5e-05,2.541,0.63,0.035,0.000197,8,3.70553377383841
"9","FOSL2",9.868,2.86e-23,1.966,0.736,0.037,0.000222,9,3.65364702554936
"10","JUN",5.714,5.51e-09,2.11,0.669,0.037,0.000228,10,3.64206515299955
"11","ZMYM3",3.734,9.44e-05,2.31,0.641,0.037,0.000235,11,3.62893213772826
"12","JMJD1C",2.899,0.00187,2.288,0.651,0.04,0.000294,12,3.53165266958784
"13","CTCF",26.104,1.62e-150,2.005,0.667,0.041,0.000302,13,3.51999305704285
"14","IKZF1",4.077,2.28e-05,2.22,0.635,0.042,0.000326,14,3.48678239993206
"15","RXRG",3.53,0.000208,2.115,0.674,0.042,0.000326,15,3.48678239993206
"16","SIRT1",2.917,0.00177,2.764,0.621,0.042,0.000326,16,3.48678239993206
"17","FOS",3.212,0.000659,2.138,0.658,0.045,0.000418,17,3.37882371822496
"18","SMC3",7.186,3.33e-13,2.012,0.649,0.047,0.00047,18,3.32790214206428
"19","BATF",2.89,0.00193,2.298,0.635,0.047,0.00047,19,3.32790214206428
"20","SMC1A",6.758,7.01e-12,1.995,0.651,0.048,0.000492,20,3.30803489723264
"21","SUMO1",5.497,1.93e-08,2.204,0.615,0.05,0.000574,21,3.24108810760203
"22","ZNF512",2.216,0.0133,2.621,0.629,0.051,0.000599,22,3.22257317761069
"23","RAD21",8.126,2.21e-16,1.898,0.667,0.051,0.000611,23,3.21395878975745
"24","RUNX1T1",3.136,0.000856,2.108,0.649,0.052,0.000637,24,3.19586056766465
"25","EED",2.385,0.00854,2.544,0.617,0.052,0.000651,25,3.18641901143181
"26","BACH2",2.96,0.00154,2.186,0.637,0.052,0.000651,26,3.18641901143181
"27","BRD9",2.217,0.0133,2.636,0.621,0.053,0.000664,27,3.17783192063198
"28","GTF2I",4.197,1.35e-05,2.198,0.613,0.055,0.000749,28,3.12551818230053
"29","EP300",5.641,8.47e-09,1.798,0.712,0.056,0.000794,29,3.1001794975729
"30","SMARCC1",3.264,0.00055,1.925,0.668,0.059,0.000922,30,3.03526907894637
"31","NKX2-1",2.096,0.018,2.441,0.614,0.062,0.00106,31,2.97469413473523
"32","STAT3",3.889,5.02e-05,2.074,0.617,0.063,0.00114,32,2.94309514866353
"33","LYL1",2.94,0.00164,1.882,0.674,0.064,0.0012,33,2.92081875395238
"34","STAG1",7.805,2.98e-15,1.894,0.633,0.065,0.00124,34,2.90657831483776
"35","BRDU",2.254,0.0121,2.443,0.607,0.066,0.00128,35,2.89279003035213
"36","POLR3D",2.916,0.00177,2.132,0.614,0.068,0.00139,36,2.85698519974591
