"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"1","MAML3",3.335,0.000427,3.047,0.585,0.02,3.67e-05,1,4.43533393574791
"2","RAD21",11.203,1.98e-29,2.491,0.654,0.022,4.98e-05,2,4.30277065724028
"3","GATA4",4.856,6e-07,3.034,0.553,0.023,5.23e-05,3,4.28149831113273
"4","AR",17.267,4.17e-67,2.832,0.547,0.023,5.74e-05,4,4.24108810760203
"5","CTCF",32.048,1.17e-225,2.409,0.618,0.026,7.8e-05,5,4.10790539730952
"6","GATA2",5.261,7.18e-08,2.796,0.55,0.026,8.13e-05,6,4.08990945440593
"7","GATA6",4.52,3.09e-06,2.875,0.556,0.027,8.82e-05,7,4.05453141486818
"8","GATA3",6.266,1.86e-10,2.554,0.567,0.027,9.18e-05,8,4.03715731879876
"9","TBX5",3.356,0.000395,3.017,0.558,0.028,9.54e-05,9,4.02045162529591
"10","SMC3",8.014,5.54e-16,2.235,0.67,0.032,0.000152,10,3.81815641205523
"11","SIX2",3.564,0.000182,2.9,0.547,0.033,0.000158,11,3.80134291304558
"12","HNF4G",3.129,0.000877,2.595,0.579,0.033,0.000158,12,3.80134291304558
"13","OTX2",5.652,7.95e-09,2.754,0.534,0.034,0.000179,13,3.74714696902011
"14","SMC1A",7.478,3.78e-14,2.225,0.64,0.037,0.000228,14,3.64206515299955
"15","EBF3",2.489,0.0064,3.008,0.548,0.038,0.000242,15,3.61618463401957
"16","HAND2",1.667,0.0477,2.966,0.583,0.04,0.000294,16,3.53165266958784
"17","POLR3D",3.562,0.000184,2.388,0.582,0.041,0.000318,17,3.49757288001557
"18","ASCL1",4.751,1.01e-06,2.501,0.542,0.043,0.00037,18,3.43179827593301
"19","SUMO1",5.568,1.29e-08,2.229,0.571,0.043,0.00037,19,3.43179827593301
"20","NR2F2",2.911,0.0018,2.383,0.591,0.044,0.000389,20,3.41005039867429
"21","PHOX2B",1.614,0.0532,3.021,0.561,0.046,0.000449,21,3.34775365899668
"22","TCF4",2.794,0.0026,2.406,0.577,0.047,0.000459,22,3.33818731446274
"23","NANOG",4.966,3.41e-07,2.424,0.538,0.048,0.000503,23,3.29843201494407
"24","FOXA1",10.888,6.58e-28,2.363,0.533,0.049,0.000538,24,3.26921772433361
"25","EOMES",2.69,0.00357,2.672,0.533,0.05,0.000574,25,3.24108810760203
"26","SMAD2",2.706,0.00341,2.509,0.547,0.051,0.000586,26,3.23210238398191
