"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"1","ESR1",26.988,1.02e-160,3.275,0.815,0.004,2.09e-07,1,6.67985371388895
"2","GREB1",3.839,6.17e-05,3.01,0.805,0.017,2.17e-05,2,4.66354026615147
"3","FOXA1",15.036,2.13e-51,2.817,0.775,0.018,2.46e-05,3,4.60906489289662
"4","AHR",2.755,0.00294,3.378,0.772,0.018,2.77e-05,4,4.55752023093555
"5","GRHL2",5.999,9.9e-10,3.003,0.705,0.02,3.87e-05,5,4.41228903498109
"6","GATA3",6.966,1.63e-12,2.697,0.76,0.023,5.48e-05,6,4.26121944151563
"7","PR",6.258,1.96e-10,2.797,0.729,0.023,5.48e-05,7,4.26121944151563
"8","NCAPG",2.6,0.00466,3.114,0.751,0.024,6.57e-05,8,4.18243463044022
"9","TLE3",2.854,0.00216,2.932,0.745,0.026,7.48e-05,9,4.12609840213554
"10","AR",11.801,1.92e-32,2.341,0.764,0.029,0.000111,10,3.95467702121334
"11","NR5A2",2.215,0.0134,3.147,0.726,0.029,0.000115,11,3.93930215964639
"12","SIRT1",3.062,0.0011,2.844,0.687,0.033,0.000158,12,3.80134291304558
"13","ASCL1",5.113,1.59e-07,2.618,0.682,0.034,0.000179,13,3.74714696902011
"14","TFAP2C",3.841,6.12e-05,2.91,0.665,0.034,0.000179,14,3.74714696902011
"15","CTBP1",2.63,0.00427,3.179,0.645,0.038,0.000242,15,3.61618463401957
"16","ZNF217",1.665,0.048,3.089,0.725,0.042,0.000335,16,3.47495519296315
"17","POLR3D",4.926,4.21e-07,2.93,0.627,0.045,0.000399,17,3.39902710431325
"18","NCAPG2",1.668,0.0476,2.851,0.727,0.046,0.000428,18,3.36855623098683
"19","TFAP2A",3.168,0.000767,2.311,0.681,0.047,0.000459,19,3.33818731446274
"20","BRDU",2.951,0.00158,2.755,0.637,0.049,0.000514,20,3.28903688100472
"21","ZXDC",1.563,0.0591,3.246,0.668,0.05,0.000574,21,3.24108810760203
